"lat","lon","city","idx","stamp","pol","x","aqi","tz","utime","img"
26.8733,112.6197,"City committee communist party school, Hengyang (衡阳市委党校)",1552,1524740400,"pm25","7820","112","+0800","2018-04-26 19:00:00","_ARoA5f9DTjptZXAv6KGh6ZizL-W4guWnlOWFmuagoQ"
27.489522,83.279089,"Lumbini, Nepal",1803,1495797300,"pm25","9306","-","+0545","2017-05-26 17:00:00","_8wuw8inNTcrMywQA"
28.0439611,105.808261,"Gulin County Construction Bureau, Luzhou (泸州古蔺县建设局)",1300,1511762400,"pm25","8971","-","+0800","2017-11-27 13:00:00","_ASAA3_9DTjptZXAv5rO45beeL-WPpOiUuuWOv-W7uuiuvuWxgA"
34.6255304,135.6019441,"Shimizucho, Yao, Osaka Prefecture, Japan (日本八尾保健所八尾市)",1190,1524740400,"pm25","1996","76","+0900","2018-04-26 20:00:00","_8wqwetq6-umGfU93NOlDWE_2z33auPRZZwMA"
25.105417,121.515389,"Shilin, Taiwan (台灣士林)",1611,1524744000,"pm25","1596","70","+0800","2018-04-26 20:00:00","_Cwm3Cs7IzMjJzAMA"
39.278,115.796,"定兴县教育局, Baoding (保定市定兴县教育局)",714,1524736800,"pm25","9739","180","+0800","2018-04-26 18:00:00","_c_az8khNSs3Uf7J_7tN1s57uaNKPfrGh-cX6qU92rI0FibRuedq3_9nUmS-aNj3d2KChpQkA"
33.626944,119.012222,"Huaiyin Monitoring Station, Huai'an (淮安淮阴区监测站)",1192,1524744000,"pm25","888","153","+0800","2018-04-26 20:00:00","_c_az8spMzEsvLtV_tn3d03WdIOrljC1Pe3Y9nz3x2dbu56tnAgA"
37.5247935,129.1140452,"Cheongok-dong, Donghae-si, Gangwon, South Korea (대한민국동해시 천곡동 강원)",1631,1524744000,"pm25","1732","89","+0900","2018-04-26 21:00:00","_8w6yck_MSy_Pz9N3yc9Lz0hM1S3OBAA"
46.6527,126.9636,"Party and government office center, Suihua (绥化党政办公中心)",1633,1524740400,"pm25","7280","93","+0800","2018-04-26 19:00:00","_ASAA3_9DTjptZXAv57ul5YyWL-WFmuaUv-WKnuWFrOS4reW_gw"
29.6376,94.3681,"Nyingchi Stations, Nyingchi (林芝地区林芝监测站)",1343,1502877600,"pm25","7071","-","+0800","2017-08-16 18:00:00","_c_azyk0t0H82b_qLrrlP52x42rMLynk-e-Kzrd3PV88EAA"
24.818055556,118.15694444,"Xidong, Xiamen (厦门溪东)",1015,1524740400,"pm25","1300","147","+0800","2018-04-26 19:00:00","_c_azyk0t0H_at-zl9BX6z3aterJjDgA"
26.0867964,119.3081791,"Wusi North Road, Fuzhou (福州五四北路)",1076,1524744000,"pm25","944","132","+0800","2018-04-26 20:00:00","_AR0A4v9DTjptZXB3Y2Yv56aP5beeL-S6lOWbm-WMl-i3rw"
26.160469,119.949875,"Matsu, Taiwan (台灣馬祖)",1601,1524744000,"pm25","1657","112","+0800","2018-04-26 20:00:00","_Cwm38k0sqSoFAA"
24.4674,117.6336,"Dajiuhu, Zhangzhou (漳州九湖)",1703,1524740400,"pm25","7168","122","+0800","2018-04-26 19:00:00","_c_azyk0t0H-2Z_PT7fP0n-yc-2znNAA"
16.074,108.217,"Da Nang, Vietnam (TP Đà Nẵng, Vietnam)",1558,1524744000,"pm25","1584","86","+0700","2018-04-26 19:00:00","_C_OzcklU8EvMSwcA"
33.369248,131.541766,"Hayami District, Oita Prefecture, Japan (日本日出町鷹匠速見郡日出町)",2360,1524740400,"pm25","6934","63","+0900","2018-04-26 20:00:00","_8wqwetkw_8Wy7pfNC59NX_q0fdfzKbv04ayX23c-7VkAAA"
26.2218696,127.7578608,"Yonagusuku, Okinawa, Japan (日本西原中頭郡西原町)",1869,1524740400,"pm10","2487","34","+0900","2018-04-26 20:00:00","_8wqwerJj7csFa182L3yxdP_TvvnPp-zSh7AA"
37.347,115.961,"Gucheng County , Hengshui (衡水市故城县县政府)",627,1524736800,"pm25","5685","181","+0800","2018-04-26 18:00:00","_ATMAzP9DTjpIZWJlaS_ooaHmsLTluIIvW-iwg-ivleS4rV3mlYXln47ljr_ljr_mlL_lupwoKik"
30.624719,114.370058,"Qingshan Ganghua, Wuhan (武汉青山钢花)",1281,1524744000,"pm25","908","157","+0800","2018-04-26 20:00:00","_c_azCi_NSMzTfzl30tONG19OWvSiayMA"
25.3636,85.0755,"IGSC Planetarium Complex, Patna, India",3074,1524742200,"pm25","8674","153","+0530","2018-04-26 17:00:00","_8_SzCkgsyUvU93QPdlYIyEnMSy1JLMoszVVwzs8tyEmtAAA"
29.536944,108.766111,"Government Conference Center, Chongqing (重庆政府会议中心)",1477,1524740400,"pm25","9248","61","+0800","2018-04-26 19:00:00","_ASAA3_9DTjptZXAv6YeN5bqGL-aUv-W6nOS8muiuruS4reW_gw"
50.2486,127.4961,"Department of Transportation, Heihe (黑河交通局　)",1593,1524744000,"pm25","7276","42","+0800","2018-04-26 20:00:00","_c_azyk0t0H-5e-KzTZv1n-xa8rJh1tONDY8bGgA"
34.466073,136.8477978,"Arashimacho, Toba, Mie, Japan (日本鳥羽高校鳥羽市)",1591,1524736800,"pm25","2194","25","+0900","2018-04-26 19:00:00","_8wqwerl56fN9e5_uaNKHsF6unvFswUIA"
26.4703088,80.3251749,"Nehru Nagar, Kanpur, India",3226,1524745800,"pm25","8187","127","+0530","2018-04-26 18:00:00","_8_Sz8k7MKygt0vdLzSgqVfBLTE8sAgA"
35.22305556,115.5258333,"Sewage treatment plant, Heze (菏泽污水处理厂)",514,1524744000,"pm25","635","107","+0800","2018-04-26 20:00:00","_ASMA3P9DTjpTaGFuZ2Rvbmcv6I-P5rO9L-axoeawtOWkhOeQhuWOgg"
19.07283,72.88261,"Mumbai US Consulate, India (मुंबई अमेरिकी वाणिज्य दूतावास, India)",4503,1524742200,"pm25","7020","63","+0530","2018-04-26 17:00:00","_8_Sz8i3NTUrM1A8NVnDOzysuzUksSQUA"
23.971306,121.599769,"Hualien, Taiwan (台灣花蓮)",1780,1524740400,"pm25","1647","54","+0800","2018-04-26 19:00:00","_Cwm38ihNzMlMzQMA"
27.712463,85.315704,"US Embassy, Phora Durbar, Kathmandu, Nepal",1386,1524741300,"pm25","9469","177","+0545","2018-04-26 17:00:00","_8wuw8k4sychNzEsp1Q_IyC9KVHApLUpKLNIPDVZwzU1KLC6uBAA"
28.2169,116.9983,"sānchuān shuǐbiǎo, Yingtan (鹰潭三川水表)",1451,1524740400,"pm25","7783","151","+0800","2018-04-26 19:00:00","_ARoA5f9DTjptZXAv6bmw5r2tL-S4ieW3neawtOihqA"
44.0297,87.2717,"New government center, Sanji (昌吉州新区政务中心)",1331,1524744000,"pm25","7235","91","+0800","2018-04-26 20:00:00","_ASMA3P9DTjptZXAv5piM5ZCJ5beeL-aWsOWMuuaUv-WKoeS4reW_gw"
27.0641666,102.748611,"Zhenwu Center, Liangshan (凉山政务中心)",1332,1516147200,"pm25","9003","-","+0800","2018-01-17 07:00:00","_c_azyk0t0H_a3vl040b9Z1P2P-1a-GTH2qf7mwE"
